id	cmd	exit	stdout_bytes	stderr_bytes
help	node dist/cli/index.js --help	0	1725	0
version	node dist/cli/index.js --version	0	6	0
valid_basic	node dist/cli/index.js tests/fixtures/basic.md -o audit-artifacts/cli-tests/out/basic.pdf	0	0	151
valid_toc	node dist/cli/index.js tests/fixtures/basic.md --toc --toc-depth 3 --toc-title Contents -o audit-artifacts/cli-tests/out/toc.pdf	0	0	149
valid_header_footer	node dist/cli/index.js tests/fixtures/basic.md --header --footer -o audit-artifacts/cli-tests/out/hf.pdf	0	0	148
valid_theme	node dist/cli/index.js tests/fixtures/basic.md --theme github -o audit-artifacts/cli-tests/out/theme.pdf	0	0	151
valid_margin	node dist/cli/index.js tests/fixtures/basic.md --paper Letter --margin 10mm -o audit-artifacts/cli-tests/out/margin.pdf	0	0	152
valid_verbose	node dist/cli/index.js tests/fixtures/basic.md --verbose -o audit-artifacts/cli-tests/out/verbose.pdf	0	236	153
valid_json_errors	node dist/cli/index.js does-not-exist.md --json-errors	1	170	0
stdin_dash	node dist/cli/index.js -	1	0	139
stdin_flag	node dist/cli/index.js tests/fixtures/basic.md --stdin	1	0	62
stdout_flag	node dist/cli/index.js tests/fixtures/basic.md --stdout	1	0	63
quiet_flag	node dist/cli/index.js tests/fixtures/basic.md --quiet	1	0	62
browser_flag	node dist/cli/index.js tests/fixtures/basic.md --browser chromium	1	0	64
input_flag	node dist/cli/index.js --input tests/fixtures/basic.md	1	0	87
duplicate_output	node dist/cli/index.js tests/fixtures/basic.md -o audit-artifacts/cli-tests/out/d1.pdf -o audit-artifacts/cli-tests/out/d2.pdf	0	0	148
missing_output_value	node dist/cli/index.js tests/fixtures/basic.md --output	1	0	85
unknown_flag	node dist/cli/index.js tests/fixtures/basic.md --wat	1	0	60
malformed_toc_depth	node dist/cli/index.js tests/fixtures/basic.md --toc --toc-depth x	1	0	68
invalid_theme	node dist/cli/index.js tests/fixtures/basic.md --theme nope	1	0	97
invalid_margin	node dist/cli/index.js tests/fixtures/basic.md --margin nope	1	0	71
invalid_extension	node dist/cli/index.js package.json	1	0	84
directory_input	node dist/cli/index.js tests	1	0	81
unicode_path	node dist/cli/index.js audit-artifacts/cli-tests/unicode-ä文件.md -o audit-artifacts/cli-tests/out/unicode.pdf	0	0	153
spaced_path	node dist/cli/index.js 'audit-artifacts/cli-tests/space name.md' -o 'audit-artifacts/cli-tests/out/space out.pdf'	0	0	155
special_path	node dist/cli/index.js 'audit-artifacts/cli-tests/special-!@#$%^&()[]{}.md' -o audit-artifacts/cli-tests/out/special.pdf	0	0	153
long_path	node dist/cli/index.js audit-artifacts/cli-tests/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.md -o audit-artifacts/cli-tests/out/long.pdf	0	0	150
windows_path	node dist/cli/index.js C:\temp\fake.md	1	0	134
absolute_path	node dist/cli/index.js /home/runner/work/md2pdf/md2pdf/tests/fixtures/basic.md -o /home/runner/work/md2pdf/md2pdf/audit-artifacts/cli-tests/out/abs.pdf	0	0	149
relative_path	cd /home/runner/work/md2pdf/md2pdf && node dist/cli/index.js ./tests/fixtures/basic.md -o ./audit-artifacts/cli-tests/out/rel.pdf	0	0	149
